ITEMS,FECHAEMP,LOTE,CODIGO,CAJA,ESPECIE,PRODUCTO,CALIDAD,FECHA ELAB,FECHAVENCI,CAJA2,TALLA,UDS,LIBRAS,PROMEDIO,QUEES,EMPAQUE,CUARTO,POSICION,TARIMA,
3,22/12/2025,64/25,010903060401,4233,ATUN,"LOMO SIN PIEL, CON CO",A,17/12/2025,17/12/2026,4233,58,7,"47,0","6,7",INVFISICO,CAJA LBS LIBRE,1,,1,
4,22/12/2025,64/25,010903060401,4249,ATUN,"LOMO SIN PIEL, CON CO",A,17/12/2025,17/12/2026,4249,58,7,"47,8","6,8",INVFISICO,CAJA LBS LIBRE,1,,1,
5,22/12/2025,64/25,010903060401,4232,ATUN,"LOMO SIN PIEL, CON CO",A,17/12/2025,17/12/2026,4232,58,7,"46,4","6,6",INVFISICO,CAJA LBS LIBRE,1,,1,
6,22/12/2025,64/25,010903060401,4231,ATUN,"LOMO SIN PIEL, CON CO",A,17/12/2025,17/12/2026,4231,58,7,"45,4","6,5",INVFISICO,CAJA LBS LIBRE,1,,1,
7,22/12/2025,64/25,010903060401,4248,ATUN,"LOMO SIN PIEL, CON CO",A,17/12/2025,17/12/2026,4248,58,7,"47,6","6,8",INVFISICO,CAJA LBS LIBRE,1,,1,
8,22/12/2025,64/25,010903060401,4230,ATUN,"LOMO SIN PIEL, CON CO",A,17/12/2025,17/12/2026,4230,58,7,"43,0","6,1",INVFISICO,CAJA LBS LIBRE,1,,1,
9,22/12/2025,64/25,010903060401,4229,ATUN,"LOMO SIN PIEL, CON CO",A,17/12/2025,17/12/2026,4229,58,7,"44,6","6,4",INVFISICO,CAJA LBS LIBRE,1,,1,
10,22/12/2025,64/25,010903060401,4227,ATUN,"LOMO SIN PIEL, CON CO",A,17/12/2025,17/12/2026,4227,58,7,"48,2","6,9",INVFISICO,CAJA LBS LIBRE,1,,1,
11,22/12/2025,64/25,010903060401,4228,ATUN,"LOMO SIN PIEL, CON CO",A,17/12/2025,17/12/2026,4228,58,7,"49,0","7,0",INVFISICO,CAJA LBS LIBRE,1,,1,
12,22/12/2025,64/25,010903060401,4225,ATUN,"LOMO SIN PIEL, CON CO",A,17/12/2025,17/12/2026,4225,58,7,"47,4","6,8",INVFISICO,CAJA LBS LIBRE,1,,1,
13,22/12/2025,64/25,010903060401,4226,ATUN,"LOMO SIN PIEL, CON CO",A,17/12/2025,17/12/2026,4226,58,7,"51,8","7,4",INVFISICO,CAJA LBS LIBRE,1,,1,
14,22/12/2025,64/25,010903060401,4224,ATUN,"LOMO SIN PIEL, CON CO",A,17/12/2025,17/12/2026,4224,58,7,"47,4","6,8",INVFISICO,CAJA LBS LIBRE,1,,1,
15,22/12/2025,64/25,010903060401,4223,ATUN,"LOMO SIN PIEL, CON CO",A,17/12/2025,17/12/2026,4223,58,7,"45,2","6,5",INVFISICO,CAJA LBS LIBRE,1,,1,
16,22/12/2025,64/25,010903060401,4221,ATUN,"LOMO SIN PIEL, CON CO",A,17/12/2025,17/12/2026,4221,58,7,"50,2","7,2",INVFISICO,CAJA LBS LIBRE,1,,1,
17,22/12/2025,64/25,010903060401,4222,ATUN,"LOMO SIN PIEL, CON CO",A,17/12/2025,17/12/2026,4222,58,7,"44,0","6,3",INVFISICO,CAJA LBS LIBRE,1,,1,
18,22/12/2025,64/25,010903060401,4218,ATUN,"LOMO SIN PIEL, CON CO",A,17/12/2025,17/12/2026,4218,58,7,"50,0","7,1",INVFISICO,CAJA LBS LIBRE,1,,1,
19,22/12/2025,64/25,010903060401,4220,ATUN,"LOMO SIN PIEL, CON CO",A,17/12/2025,17/12/2026,4220,58,7,"46,6","6,7",INVFISICO,CAJA LBS LIBRE,1,,1,
20,22/12/2025,64/25,010903060401,4219,ATUN,"LOMO SIN PIEL, CON CO",A,17/12/2025,17/12/2026,4219,58,7,"47,8","6,8",INVFISICO,CAJA LBS LIBRE,1,,1,
21,22/12/2025,64/25,010903060401,4217,ATUN,"LOMO SIN PIEL, CON CO",A,17/12/2025,17/12/2026,4217,58,7,"44,2","6,3",INVFISICO,CAJA LBS LIBRE,1,,1,
22,22/12/2025,64/25,010903060401,4215,ATUN,"LOMO SIN PIEL, CON CO",A,17/12/2025,17/12/2026,4215,58,7,"45,6","6,5",INVFISICO,CAJA LBS LIBRE,1,,1,
23,22/12/2025,64/25,010903060401,4214,ATUN,"LOMO SIN PIEL, CON CO",A,17/12/2025,17/12/2026,4214,58,7,"46,4","6,6",INVFISICO,CAJA LBS LIBRE,1,,1,
24,22/12/2025,64/25,010903060401,4205,ATUN,"LOMO SIN PIEL, CON CO",A,17/12/2025,17/12/2026,4205,58,7,"47,0","6,7",INVFISICO,CAJA LBS LIBRE,1,,1,
25,22/12/2025,64/25,010903060401,4216,ATUN,"LOMO SIN PIEL, CON CO",A,17/12/2025,17/12/2026,4216,58,7,"46,2","6,6",INVFISICO,CAJA LBS LIBRE,1,,1,
26,22/12/2025,64/25,010903060401,4202,ATUN,"LOMO SIN PIEL, CON CO",A,17/12/2025,17/12/2026,4202,58,7,"47,4","6,8",INVFISICO,CAJA LBS LIBRE,1,,1,
27,22/12/2025,64/25,010903060401,4203,ATUN,"LOMO SIN PIEL, CON CO",A,17/12/2025,17/12/2026,4203,58,7,"45,8","6,5",INVFISICO,CAJA LBS LIBRE,1,,1,
28,22/12/2025,64/25,010903060401,4201,ATUN,"LOMO SIN PIEL, CON CO",A,17/12/2025,17/12/2026,4201,58,7,"45,4","6,5",INVFISICO,CAJA LBS LIBRE,1,,1,
29,22/12/2025,64/25,010903060401,4197,ATUN,"LOMO SIN PIEL, CON CO",A,17/12/2025,17/12/2026,4197,58,7,"48,6","6,9",INVFISICO,CAJA LBS LIBRE,1,,1,
